event_id,is_summer,is_weekend,program_type,special_speaker_flag,is_special_month,is_food,attendance
1,1,0,large,1,1,1,80
2,1,1,large,1,1,1,57
3,0,0,large,0,1,1,60
4,0,1,large,0,1,1,45
5,0,0,large,0,1,1,55
6,0,0,large,0,1,1,65
7,0,0,large,0,1,1,65
8,0,0,large,0,1,1,70
9,0,1,large,0,1,1,65
10,0,1,large,0,1,1,90
11,0,0,medium,0,1,1,75
12,0,1,large,1,1,1,90
13,0,0,large,1,1,1,70
14,0,0,large,0,1,1,90
15,0,0,large,0,1,1,110
16,0,0,large,0,1,1,90
17,0,1,large,0,1,1,75
18,0,1,large,0,1,1,70
19,0,0,large,0,1,1,65
20,0,0,large,0,1,1,55
21,0,0,large,0,1,1,70
22,0,0,large,0,1,1,70
23,0,0,large,0,1,1,57
24,0,1,large,0,1,1,90
25,0,1,large,0,1,1,60
26,0,0,extra large,0,1,1,125
27,1,0,small,0,0,0,50
28,1,0,medium,0,0,0,60
29,1,0,extra large,1,0,1,90
30,1,0,medium,0,0,0,30
31,1,0,medium,0,0,0,30
32,1,0,small,0,0,0,15
33,1,1,large,1,0,1,70
34,1,0,large,1,1,1,90
35,1,1,large,1,1,1,120
36,1,0,large,1,1,1,120
37,1,0,large,1,1,1,130
38,1,0,large,1,1,1,125
39,1,0,large,1,1,1,130
40,1,1,large,1,1,1,85
41,1,0,large,1,1,1,65
42,1,0,small,0,1,0,20
43,1,0,medium,0,1,1,40
44,1,1,large,1,1,1,90
45,1,0,large,1,1,1,70
46,1,0,small,1,1,0,27
47,1,0,small,0,1,0,15
48,1,0,small,1,1,0,27
49,1,0,large,1,0,1,80
50,1,0,medium,1,1,0,45
51,1,0,medium,1,1,0,45
52,1,0,medium,1,1,1,50
53,1,0,large,1,1,0,60
54,1,0,large,1,1,1,60
55,1,0,large,1,0,1,75
56,1,0,medium,1,0,0,45
57,1,1,large,1,0,0,60
58,1,0,medium,0,0,0,35
59,0,0,medium,0,0,0,54
60,0,0,large,1,0,1,70
61,0,0,medium,1,0,1,37
62,0,0,small,0,0,0,25
63,0,0,small,0,0,0,15
64,0,0,small,0,0,0,12
65,0,0,small,0,0,0,20
66,0,0,small,0,0,1,30
67,0,0,small,0,0,0,20
68,0,0,small,0,0,0,15
69,0,0,medium,1,0,0,30
70,0,0,small,0,0,0,15
71,0,0,medium,0,0,0,40
